Date,Open,High,Low,Close,Volume
2020/3/13,10382.21973,10956.50977,10380.16992,10831.12988,2245600
2020/3/16,10867.66016,10867.66016,10217.92969,10253.28027,2261500
2020/3/17,10337.91992,10449.33008,9885.860352,10202.75,1957500
2020/3/18,10294.95996,10479.78027,10029.57031,10029.57031,1974900
2020/3/19,10023.12012,10101.79981,9719.490234,10019.86035,1933200
2020/3/20,10150.78027,10174.50977,9964.290039,10150.12988,1583700
2020/3/23,9828.900391,9929.959961,9659.349609,9691.530273,1634700
2020/3/24,9900.219727,9945.919922,9634.969727,9921.679688,1692200
2020/3/25,10171.46973,10255.58008,10111.36035,10241.08008,1809200
2020/3/26,10161.94043,10281.57031,10112.62012,10155.36035,1555200
2020/3/27,10300.62012,10310.53027,10105.71973,10109.91016,1423400
2020/3/30,9953.040039,9985.379883,9791.019531,9904.950195,1502800
2020/3/31,10008.03027,10047.98047,9925.679688,9962.299805,1317900
2020/4/1,9967.120117,10127.09961,9927.919922,9951.839844,1488300
2020/4/2,9910.379883,10179.2002,9896.650391,10179.2002,1445500
2020/4/3,10155.55957,10212.91016,10069.63965,10110.11035,1321800
2020/4/7,10312.70996,10441.74023,10296.71973,10428.91016,1706400
2020/4/8,10372.75977,10426.40039,10344.44043,10386.54981,1538400
2020/4/9,10453.86035,10485.29981,10401.16992,10463.04981,1386700
2020/4/10,10459.7002,10509,10265.87988,10298.41016,1449200
2020/4/13,10225.53027,10295.16992,10173.12012,10223.16016,1145300
2020/4/14,10300.95996,10475.70996,10276.37012,10475.70996,1383600
2020/4/15,10468.45996,10528.73047,10404.50977,10417.37012,1547600
2020/4/16,10361.76953,10489.12988,10346.11035,10470.79004,1383300
2020/4/17,10562.90039,10624.54004,10507.79981,10527.99023,1711500
2020/4/20,10553.54981,10621.5,10523.58984,10621.5,1421200
2020/4/21,10577.71973,10577.71973,10394.44043,10506.86035,1464300
2020/4/22,10424.4502,10617.19043,10409.84961,10617.19043,1297100
2020/4/23,10657.40039,10667.00977,10557.94043,10564.04981,1421400
2020/4/24,10565.08984,10577.03027,10388.66016,10423.45996,1352700
2020/4/27,10449.12988,10531.38965,10367.29004,10452.16992,1236200
2020/4/28,10477.75977,10547.75,10194.15039,10501.15039,1590300
2020/4/29,10460.99023,10586.57031,10449.37012,10514.16992,1186200
2020/4/30,10575.51953,10751.75,10575.51953,10721.78027,1596700
2020/5/6,10618.16992,10884.33984,10613.88965,10883.21973,1680000
2020/5/7,10899.91992,10926.83008,10832.08984,10863.29004,1485300
2020/5/8,10923.61035,11054.30957,10904.87988,11001.58008,1546500
2020/5/11,11053.82031,11096.28027,10902.59961,10969.28027,1568100
2020/5/12,10972.04981,11018.92969,10871.61035,11015.55957,1328100
2020/5/13,10978.30957,11096.62012,10954.69043,11074.58984,1274100
2020/5/14,11026.70996,11047.37988,10955.54004,10962.15039,1367700
2020/5/15,11013.16016,11039.67969,10919.54004,10964.88965,1373500
2020/5/18,10969.08008,11017.5,10858.45996,10921.15039,1617400
2020/5/19,11023.42969,11052.84961,10978.71973,11052.84961,1311500
2020/5/20,11056.98047,11056.98047,10914.75,10948.48047,1491700
2020/5/21,10999.07031,11007.13965,10818.79004,10845.40039,1365000
2020/5/22,10832.91016,10832.91016,10559.29981,10604.96973,1273400
2020/5/25,10602.46973,10629.61035,10532.86035,10592.83984,980400
2020/5/26,10655.98047,10816.70996,10647.25,10815.42969,1065600
2020/5/27,10823.24023,10823.24023,10657.80957,10682.7002,1129900
2020/5/28,10680.87012,10727.99023,10505.79004,10653.49023,1156400
2020/5/29,10615.13965,10764.87012,10588.74023,10746.08008,1210300
2020/6/1,10837.49023,11123.19043,10837.49023,11102.15039,1744300
2020/6/2,11133.62012,11146.84961,11059.19043,11112.5,1908300
2020/6/3,11154.63965,11204.51953,11100.69043,11108.36035,1847200
2020/6/4,11146.29004,11165.13965,11080.50977,11139.25977,1479200
2020/6/5,11153.26953,11180.59961,11087.25,11180.59961,1361300
2020/6/8,11266.92969,11340.03027,11195.84961,11215.75977,1603200
2020/6/9,11238.44043,11303.54004,11195,11284.24023,1426600
2020/6/10,11296.12988,11338.24023,11249.42969,11335.86035,1381900
2020/6/11,11328.09961,11405.00977,11180.75,11243.62012,1582200
2020/6/12,11017.15039,11306.13965,11003.32031,11251.70996,1552800
2020/6/15,11241.25977,11353.16016,11192.26953,11192.26953,1689200
2020/6/16,11312.80957,11398.96973,11293.90039,11398.96973,1528000
2020/6/17,11421.03027,11421.03027,11330.37012,11420.83984,1563000
2020/6/18,11416.08008,11503.37988,11397.57031,11494.54981,1735900
